bit_position,accuracy,smoothed_accuracy,p_value,significant
0,0.5046624745091107,0.5079153417903971,0.5646581048319416,False
1,0.5130319584788768,0.5086064162972967,0.1096208490275355,False
2,0.5014754906589913,0.509823433957457,0.8728957923507394,False
3,0.5100228066618203,0.5109952083802265,0.2120694995983738,False
4,0.526275896064103,0.5111843433982461,0.0010971196722399008,True
5,0.5119730766802165,0.5097717087592599,0.14104914681892713,False
6,0.513181185461718,0.5072325777403086,0.10270029399172993,False
7,0.4883886733810685,0.5050024180139517,0.1498971825317933,False
8,0.4970366113086389,0.5043195977418375,0.7248685361590474,False
9,0.5048834196334786,0.5052188582780319,0.5432316058236187,False
10,0.5197043980391709,0.5067538103397125,0.015014814262658053,True
11,0.505252549907875,0.5080081938911347,0.522217781403393,False
12,0.49927060125235384,0.5085700670109301,0.9489762010621571,False
13,0.5214250381818615,0.5082093855066445,0.007905294809163408,True
14,0.5111064829789238,0.506726863555858,0.1688544143294251,False
15,0.5047750212682065,0.5043438030675192,0.5646581048319416,False
16,0.49345885646248133,0.5018535443919524,0.4237588525085549,False
17,0.4997211912726242,0.5000940033469068,0.974475044287747,False
18,0.4954992368238155,0.4993619986924712,0.5864830304747182,False
19,0.5014250145091792,0.4993766626320878,0.8728957923507394,False
20,0.5014290158826735,0.49963974216507506,0.8728957923507394,False
21,0.49614201526117446,0.49971786228067516,0.6312657598107693,False
22,0.5051152740873484,0.4993286248594385,0.5432316058236187,False
23,0.4999834265575917,0.498448192723975,1.0,False
24,0.49747499358271247,0.49746351535505007,0.7733722130312329,False
25,0.49043380873475173,0.4970271854946883,0.23645404128355163,False
26,0.4903323909746894,0.4974895963375197,0.23645404128355163,False
27,0.503319788718,0.49846516260721857,0.701010943818652,False
28,0.5084268721814046,0.49916306725532456,0.3058812067202,False
29,0.4989064326155135,0.49920013950064757,0.8981608218289945,False
30,0.4917775427881575,0.49894762217957356,0.3058812067202,False
31,0.4980672158431394,0.4991145397435078,0.8227775656662598,False
32,0.505250968034136,0.5001795981530448,0.522217781403393,False
33,0.48694440100764774,0.5021055973378664,0.10270029399172993,False
34,0.5101200824781786,0.5042468245866554,0.2120694995983738,False
35,0.5176703821592823,0.5055649998928593,0.02724632420818499,True
36,0.5069844076798564,0.5053170635842615,0.3876360213690567,False
37,0.5073964678715793,0.503671190785278,0.3703007160700463,False
38,0.49246829179994533,0.5015620971405497,0.3534552074898803,False
39,0.5000903445498754,0.500005280521791,1.0,False
40,0.5000920631098803,0.4995863275964141,1.0,False
41,0.4908945617137309,0.5003355808171654,0.26275699227156113,False
42,0.4998178294324342,0.5018027422388185,1.0,False
43,0.5204129973110365,0.5033933933627036,0.011469864096111853,True
44,0.49686229237722795,0.5048829860207741,0.701010943818652,False
45,0.49815338485910615,0.5063930397907359,0.8227775656662598,False
46,0.5068164524836146,0.5076772700487668,0.4054571110407449,False
47,0.5261185384820758,0.5078816597299913,0.0010971196722399008,True
48,0.5175451485307421,0.5064654696380564,0.029557915907240467,True
49,0.4856334937678713,0.5040515400390534,0.07314698415193141,False
50,0.4979770740093907,0.5018903875571139,0.8227775656662598,False
51,0.506049942127736,0.5006917277352712,0.4617780747944238,False
52,0.49887597375074894,0.5003449414697649,0.8981608218289945,False
53,0.4983354606178741,0.500491873227368,0.8477597318846221,False
54,0.4989439576912838,0.5009163857279739,0.8981608218289945,False
55,0.5042391557308378,0.5015160348048401,0.6086910472232507,False
56,0.5046167977988112,0.5022993191840339,0.5646581048319416,False
57,0.4968763970971177,0.5034228122169084,0.701010943818652,False
58,0.5036838621042943,0.504935132813761,0.6541897459298129,False
59,0.5042784930208591,0.5064435481212087,0.6086910472232507,False
60,0.5238305459681004,0.5072892798347667,0.0029183181532616005,True
61,0.5051165540915185,0.5071208564777031,0.5432316058236187,False
62,0.49293080562128344,0.5060702265513033,0.3876360213690567,False
63,0.5203975224833105,0.504397557110623,0.011469864096111853,True
64,0.5042797327195355,0.5023499732472311,0.6086910472232507,False
65,0.48896997992103114,0.5003937227206783,0.1688544143294251,False
66,0.4974347594679113,0.4991824308280679,0.7489962607853322,False
67,0.5039440884985129,0.4991565772651617,0.6312657598107693,False
68,0.4880857454079437,0.500262287118365,0.14104914681892713,False
69,0.5025803575065954,0.5019225370050562,0.7489962607853322,False
70,0.5160620894135632,0.5032739754134359,0.047263219385083266,True
71,0.5027377559646343,0.5037121784642444,0.7489962607853322,False
72,0.5065380156587065,0.503287887721373,0.4237588525085549,False
73,0.4886569444331535,0.5024038904422675,0.1591623597921512,False
74,0.5160696097726845,0.5012247046242474,0.047263219385083266,True
75,0.49859938577852814,0.4996565512983424,0.8728957923507394,False
76,0.4977197541655377,0.4978148796761218,0.7979737524958578,False
77,0.48854035831753073,0.49620453497852535,0.1591623597921512,False
78,0.49935190103271454,0.4954269685109185,0.9489762010621571,False
79,0.49111848999111685,0.49585370052632494,0.27663933638618954,False
80,0.4882156717615266,0.49739107944781513,0.14104914681892713,False
81,0.5037202206213719,0.49932938495842055,0.6541897459298129,False
82,0.5106199608322527,0.5006350439151932,0.18955582277292496,False
83,0.5094381510776754,0.5007450415145441,0.24936321733140265,False
84,0.4848114168802309,0.5000255028565849,0.0590364175667308,False
85,0.5045284525197167,0.4992588730076859,0.5864830304747182,False
86,0.4932214430230324,0.4988318050757541,0.4054571110407449,False
87,0.5075042068424792,0.4986073159155202,0.3534552074898803,False
88,0.4938748604875007,0.49842979415394395,0.4617780747944238,False
89,0.4985671278020979,0.4984408866139896,0.8728957923507394,False
90,0.49281199417978844,0.4988596530502893,0.3703007160700463,False
91,0.5014110157646835,0.4996848527625381,0.8728957923507394,False
92,0.5111613919426965,0.5007548920716459,0.1688544143294251,False
93,0.48400799286804996,0.5019310526270443,0.047263219385083266,True
94,0.5105526178107437,0.5030406994896004,0.18955582277292496,False
95,0.5157276178271912,0.5038398369940207,0.05094655986343632,False
96,0.4927479587974889,0.5042235362908929,0.3703007160700463,False
97,0.506741482201038,0.5042445840202773,0.4054571110407449,False
98,0.5031919201202213,0.5037790454071761,0.701010943818652,False
99,0.5124711091749494,0.5025240383331725,0.12456362463908893,False
100,0.5040823499484877,0.5006063164681712,0.6312657598107693,False
101,0.4879284526397108,0.4989868639395676,0.13260812074885012,False
102,0.4915259129768417,0.49890419360288407,0.2910133468548798,False
103,0.492316104311938,0.5008364467249495,0.3371024066745354,False
104,0.5130443705828437,0.5040910178493433,0.1096208490275355,False
105,0.5088777004009674,0.5073584707514781,0.27663933638618954,False
106,0.5105294601314996,0.509521586028916,0.18955582277292496,False
107,0.5205855346476183,0.5100116212704395,0.010465481773409549,True
108,0.5041004572645962,0.5087184374739473,0.6086910472232507,False
109,0.5165704953238627,0.5058369748301671,0.04056558977172955,True
110,0.49727064307816177,0.5018422012663912,0.7489962607853322,False
111,0.5022039825955936,0.4975503757994957,0.7979737524958578,False
112,0.4839997630466536,0.4940999694910242,0.047263219385083266,True
113,0.4904858838743962,0.4926858954592837,0.23645404128355163,False
114,0.48017212545182325,0.4939799585396705,0.013738458665012821,True
115,0.49002366716828194,0.49749803398200365,0.22402466384320519,False
116,0.513970145283193,0.5015947171559946,0.08400484263986692,False
117,0.5214662556913839,0.5044536636184689,0.007905294809163408,True
118,0.49608073602939723,0.5053064810388368,0.6312657598107693,False
119,0.5112401824939614,0.5046646098889005,0.1688544143294251,False
120,0.4981189367101694,0.5034693390050246,0.8227775656662598,False
121,0.4975291450331021,0.5022227020427195,0.7733722130312329,False
122,0.516184479751782,0.500837016675751,0.0438064335790101,True
123,0.4873190410361152,0.49899619204305756,0.11690487859253372,False
124,0.49986439477045924,0.4965122499477282,1.0,False
125,0.5093197225077665,0.4935480225819523,0.24936321733140265,False
126,0.47034535140885436,0.4907361027150937,0.00023265641971848323,True
127,0.49031715491163796,0.48899203022851245,0.23645404128355163,False
